,Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),User Submitted Info,User Submitted Link,Tax Parcel
342,HMS-Armenise,Yes,Laboratory,210 Longwood Ave,02115,133645,219,Not applicable to this property type,,Laboratory,1905.0,2084.9,15.6,29262382.9,29%,0%,43%,64.86138650903513,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered",,0401882000
343,HMS-C Building,Yes,Laboratory,240 Longwood,02115,136368,259.5,Not applicable to this property type,,Laboratory,1905.0,2593.4,19,35385910.7,38%,0%,29%,26.240760295670537,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered.",,0401882000
344,HMS-Goldenson,Yes,Laboratory,220 Longwood,02115,133445,246.5,Not applicable to this property type,,Laboratory,1905.0,2365.7,17.7,32888734.4,29%,0%,48%,43.25002810146502,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. Gas Meter is labeled for 230 Longwood Ave. ",,0401882000
345,HMS-Harvard Institutes of Medicine (HIM),Yes,Laboratory,4 Blackfan St,02115,295537,487.6,Not applicable to this property type,,Laboratory,1992.0,10227.7,34.6,144093811.3,26%,0%,50%,119.35324510974937,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies Steam and Chilled Water for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered.  NSTAR provides electrical service.HIM building operates a 24/7 critical environment laboratory for scientfic research.  ",,0401849000
346,HMS-LHRRB,Yes,Laboratory,45 Shattuck St,02115,66053,386.5,Not applicable to this property type,,Laboratory,1977.0,1842.8,27.9,25532733.9,35%,0%,30%,21.487290509136603,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,0401882000
347,HMS-New Research Building (NRB),Yes,Laboratory,77 Avenue Louis Pasteur,02115,825684,368.4,Not applicable to this property type,,"Laboratory, Parking",2003.0,17914.5,28.6,230836078.9,37%,0%,63%,44.435827469002824,,"The Medical Area Total Energy Plant (MATEP) on Brookline Ave., Boston supplies Steam to the NRB. NSTAR provides electrical service. NRB building operates a 24/7 critical environment laboratory for scientfic research.  ",,0401849000
348,HMS-Seeley Mudd,Yes,Laboratory,250 Longwood,02115,91622,578.7,Not applicable to this property type,,Laboratory,1977.0,3688.2,40.3,53021317.3,21%,0%,55%,32.89712077885224,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. Seeley Mudd building operates a 24/7 critical environment laboratory for scientfic research.  ",,0401882000
349,HMS-Warren Alpert (WAB),Yes,Laboratory,200 Longwood Ave,02115,286194,527.5,Not applicable to this property type,,"Laboratory, Parking",1992.0,7472.6,37.5,105206386,25%,0%,53%,102.06728840754111,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. WAB building operates a 24/7 critical environment laboratory for scientific research.  ",,0401882000
350,HSDM-Research Education Building (REB),Yes,Laboratory,190 Longwood Ave,02115,70298,391.7,Not applicable to this property type,,Laboratory,2005.0,1885.3,26.8,27536269.2,18%,0%,57%,12.219408802526388,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,0401882000
351,Merck MRL Boston,Yes,Laboratory,33 Avenue Louis PAsteur,02115,626593,394,Not applicable to this property type,,"Laboratory, Parking",2004.0,12396.8,30.6,159649940.5,37%,0%,63%,30.226600158454744,,,,Not Available
352,549 Albany Street - 535139,Yes,Laboratory,549 Albany Street,02118,105462,222.6,Not applicable to this property type,,"Distribution Center, Laboratory, Office, Parking, Refrigerated Warehouse",1895.0,1806.6,17.1,23476936.1,55%,45%,0%,3.154690789099391,,,,0801159000 0801161000 0801154010
353,620 Albany Street,Yes,Laboratory,620 Albany Street,02118,195000,Not Available,Not applicable to this property type,,Laboratory,2008.0,Not Available,Not Available,Not Available,0%,0%,0%,,,,,Not Available
354,650 Albany Street,Yes,Laboratory,650 Albany Street,02118,196458,Not Available,Not applicable to this property type,,Laboratory,1999.0,0,0,Not Available,0%,0%,0%,5545.992018650297,,,,Not Available
355,700 Albany Street,Yes,Laboratory,700 Albany Street,02118,180627,Not Available,Not applicable to this property type,,Laboratory,1993.0,0,0,Not Available,0%,0%,0%,36347.747568193015,,,,Not Available
356,70-72 East Concord Street L Building,Yes,Laboratory,72 East Concord Street,02118,215224,Not Available,Not applicable to this property type,,Laboratory,1968.0,Not Available,Not Available,Not Available,0%,0%,0%,2112.5529680704753,,,,0801403000
357,75-85 East Newton Street (Evans)  E Building,Yes,Laboratory,75 East Newton Street,02118,180366,Not Available,Not applicable to this property type,,Laboratory,1972.0,Not Available,Not Available,Not Available,0%,0%,0%,50.02827583912711,,,,Not Available
358,778-780 Harrison Avenue R (10 Stoughton),Yes,Laboratory,780 Harrison Avenue,02118,120633,Not Available,Not applicable to this property type,,Laboratory,1959.0,Not Available,Not Available,Not Available,0%,0%,0%,11950.9039814976,,,,Not Available
359,790 Harrison Ave (71 East Concord) K Building,Yes,Laboratory,790 Harrison Ave (71 East Concord),02118,77861,Not Available,Not applicable to this property type,,Laboratory,1904.0,Not Available,Not Available,Not Available,0%,0%,0%,24581.404040533773,,,,0801420010
360,PHS-MGH-CNY 75,Yes,Laboratory,75 Thirteenth St.,02129,51880,416.9,Not applicable to this property type,,Laboratory,1848.0,1589.6,30.6,21627773.4,47%,53%,0%,27.307247494217425,,,,0203510155
361,Annex,Yes,Laboratory,1 Harbor Street,02210,20000,1329.3,Not applicable to this property type,,Laboratory,2013.0,1953.5,97.7,26585992.2,47%,53%,0%,48.165,,Water bill is payed by property owner.,,0602674000
362,Vertex ONE,Yes,Laboratory,50 Northern Ave,02210,685239,220,Not applicable to this property type,,"Laboratory, Parking, Retail Store",2013.0,9677.2,16.5,128779740.4,50%,50%,0%,18.254422552153905,,"Parcel A - Vertex Global Headquarters
LEED project ID  1000021954",,0602671015
363,Vertex TWO,Yes,Laboratory,11 Fan Pier Blvd.,02210,516693,198.8,Not applicable to this property type,,Laboratory,2013.0,7956.7,15.4,102719873.4,56%,44%,0%,16.159692505994855,,"Parcel B - Vertex Global Headquarters
LEED project ID  1000021955",,0602671017
364,15 St. Mary's Street (736-754 Commonwealth Ave),Yes,Laboratory,15 St. Mary's Street (736-754 Commonwealth Ave),02215,52739,Not Available,Not applicable to this property type,,"Laboratory, Parking",1990.0,754.9,16.4,Not Available,0%,0%,0%,16.285745351745135,,,,Not Available
365,2 Cummington Street (23-25 Blandford Street),Yes,Laboratory,2 Cummington Street (23-25 Blandford Street),02215,61754,155.9,Not applicable to this property type,,Laboratory,1905.0,711.6,11.5,9627204.5,48%,52%,0%,22.910256825468796,,,,2100295000
366,20-28 Cummington Street (24 Cummington St),Yes,Laboratory,20-28 Cummington Street (24 Cummington St),02215,188575,323.1,Not applicable to this property type,,Laboratory,1983.0,4650,24.7,60931823.1,53%,47%,0%,46.47752883468116,,,,2100288000
367,30-38 Cummington Street,Yes,Laboratory,30-38 Cummington Street,02215,36563,236.1,Not applicable to this property type,,Laboratory,1917.0,640.1,17.5,8633274.5,48%,52%,0%,73.23523780871373,,,,Not Available
368,3-5 Cummington Street (616-620 Comm. Ave.),Yes,Laboratory,3-5 Cummington Street (616-620 Comm. Ave.),02215,149118,166.9,Not applicable to this property type,,Laboratory,1913.0,1865.6,12.5,24885853.5,50%,50%,0%,12.581311444627744,,,,2100350000
369,42-44 Cummington Street,Yes,Laboratory,42-44 Cummington Street,02215,96500,260.4,Not applicable to this property type,,Laboratory,1968.0,1962.2,20.3,25130637.7,57%,43%,0%,24.356476683937824,,,,Not Available
370,582-596 Commonwealth Avenue (590 Comm / 712 Bea),Yes,Laboratory,582-596 Commonwealth Avenue (590 Comm / 712 Bea),02215,280838,360.4,Not applicable to this property type,,Laboratory,1983.0,7078.8,25.2,101212940.6,38%,61%,0%,17.358761990898667,,,,0504135010
371,6-8 St. Mary's Street,Yes,Laboratory,6-8 St. Mary's Street,02215,289059,279.6,Not applicable to this property type,,Laboratory,1997.0,5889.9,20.4,80821321.5,45%,55%,0%,27.213821399783434,,,,Not Available
372,730-732 Commonwealth Avenue,Yes,Laboratory,730-732 Commonwealth Avenue,02215,58264,435.5,Not applicable to this property type,,"Laboratory, Parking",1990.0,1226.4,26.6,20041367.6,19%,81%,0%,12.635261396723307,,,,Not Available
373,BIDMC Research North,Yes,Laboratory,95 Brookline Ave,02215,114681,322.4,Not applicable to this property type,,Laboratory,1994.0,2822.6,24.6,36974662,53%,47%,0%,27.34716299997384,,,,2100067000
374,North End Branch,Municipal,Library,25 Parmenter St,02113,7600,102.4,Not applicable to this property type,,Library,2000.0,52.6,6.9,778019.9,33%,67%,0%,2.210526315789474,,,,
375,West End Branch,Municipal,Library,151 Cambridge St,02114,12562,Not Available,Not applicable to this property type,,Library,2000.0,0,0,Not Available,0%,0%,0%,1.8946027702595127,,,,
376,Cardinal Cushing Library,Yes,Library,398 The Fenway,02115,51782,102.6,Not applicable to this property type,,Library,1964.0,386.3,7.5,5313312.3,45%,55%,0%,18.02749990344135,,"Main reading room, computer lab, classrooms, faculty and staff office spaces.

Between October 2014 and January 2015, we upgraded 486 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 90,000 kWh in this building.

http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html",http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html,0401847000
377,HMS-Countway,Yes,Library,10 Shattuck St,02115,162771,184.9,Not applicable to this property type,,Library,1963.0,2126.1,13.1,30093301.3,26%,0%,46%,8.437006592083357,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,0401882000
378,Copley Branch (Johnson / McKim),Municipal,Library,700 Bolyston Street,02116,500000,131.7,Not applicable to this property type,,Library,2000.0,5249,10.5,65867371.1,44%,0%,56%,5.5092,,,,
379,Dudley Branch,Municipal,Library,65 Warren St,02116,25933,107.8,Not applicable to this property type,,Library,2000.0,191.7,7.4,2794771.9,35%,65%,0%,1.0951297574518952,,,,
380,South End Branch,Municipal,Library,685 Tremont St,02118,11342,62.6,Not applicable to this property type,,Library,2000.0,54.8,4.8,709743.5,55%,45%,0%,0.8464115676247576,,,,
381,Egleston Branch,Municipal,Library,2044 Columbus Ave,02119,6000,86.5,Not applicable to this property type,,Library,2000.0,35.1,5.9,518858,33%,67%,0%,1.3833333333333333,,,,
382,Parker Hill Branch,Municipal,Library,1497 Tremont St,02120,9136,150.7,Not applicable to this property type,,Library,2000.0,80.3,8.8,1376843.9,12%,88%,0%,0.3502626970227671,,,,
383,Grove Hall Branch,Municipal,Library,5 Crawford St,02121,8103,150.7,Not applicable to this property type,,Library,2000.0,74.9,9.2,1221432.4,19%,81%,0%,,,,,
384,Adams Street Branch,Municipal,Library,690 Adams St,02122,7189,84.1,Not applicable to this property type,,Library,2000.0,39.3,5.5,604292.7,27%,73%,0%,1.0849909584086799,,,,
385,Fields Corner Branch,Municipal,Library,1520 Dorcheter Ave,02122,8410,69.9,Not applicable to this property type,,Library,2000.0,56.9,6.8,588276.6,100%,0%,0%,1.2366230677764567,,,,
386,Codman Square Branch,Municipal,Library,690 Washington St,02124,20000,69.7,Not applicable to this property type,,Library,2000.0,104.8,5.2,1393465.1,51%,49%,0%,0.295,,,,
387,Lower Mills Branch,Municipal,Library,23 Richmond St,02124,9940,120,Not applicable to this property type,,Library,2000.0,77.9,7.8,1192447.7,28%,72%,0%,0.8450704225352113,,,,
388,Mattapan Branch,Municipal,Library,1350 Blue Hill Ave,02126,21000,180.6,Not applicable to this property type,,Library,2000.0,247.8,11.8,3792805.9,28%,72%,0%,0.6285714285714286,,,,
389,South Boston Branch,Municipal,Library,646 East Broadway,02127,10800,68.8,Not applicable to this property type,,Library,2000.0,51.2,4.7,743284.5,36%,64%,0%,1.5,,,,
390,East Boston Branch,Municipal,Library,276 Meridian St,02128,9720,51.7,Not applicable to this property type,,Library,2000.0,29.3,3,502362.3,12%,88%,0%,0.0102880658436214,,,,
391,New East Boston,Municipal,Library,365 Bremen Street,02128,15000,Not Available,Not applicable to this property type,,Library,2000.0,Not Available,Not Available,Not Available,0%,0%,0%,,,,,
392,Orient Heights Branch,Municipal,Library,18 Barnes Ave,02128,10000,27.1,Not applicable to this property type,,Library,2000.0,17.3,1.7,270666,25%,75%,0%,0,,,,
393,Charlestown Branch,Municipal,Library,179 Main St,02129,15831,84.8,Not applicable to this property type,,Library,2000.0,106.2,6.7,1342001.1,60%,40%,0%,0.3600530604510138,,,,
394,Connolly Branch,Municipal,Library,433 Centre St,02130,9240,50.3,Not applicable to this property type,,Library,2000.0,33.2,3.6,464758.3,42%,58%,0%,0.5844155844155844,,,,
395,Jamaica Plain Branch,Municipal,Library,12 Sedgewick St,02130,9252,77.7,Not applicable to this property type,,Library,2000.0,46.4,5,719114.1,26%,74%,0%,1.156506701253783,,,,
396,Roslindale Branch,Municipal,Library,4246 Washington St,02131,13600,79.6,Not applicable to this property type,,Library,2000.0,73.2,5.4,1081935.5,33%,67%,0%,3.1691176470588234,,,,
397,West Roxbury Branch,Municipal,Library,1961 Centre St,02132,23193,58.9,Not applicable to this property type,,Library,2000.0,89.1,3.8,1366341.4,28%,72%,0%,1.7332815935842711,,,,
398,Honan-Allston Branch,Municipal,Library,300 North Harvard St,02134,20000,106.4,Not applicable to this property type,,Library,2000.0,146.6,7.3,2128169.2,36%,64%,0%,0.64,,,,
399,Hyde Park Branch,Municipal,Library,35 Harvard Ave,02134,30000,36.8,Not applicable to this property type,,Library,2000.0,106.9,3.6,1104587.2,100%,0%,0%,0.55,,,,
400,Brighton Branch,Municipal,Library,40 Academy Rd,02135,17208,109.8,Not applicable to this property type,,Library,2000.0,122.8,7.1,1889957.7,27%,73%,0%,0.44746629474662947,,,,
401,Faneuil Branch,Municipal,Library,319 Faneuil Street,02135,8072,92.6,Not applicable to this property type,,Library,2000.0,46.9,5.8,747216.7,22%,78%,0%,,,,,
402,HBS Baker Library,Yes,Library,25 Harvard Way,02163,157820,82.7,Not applicable to this property type,,Library,1927.0,996.8,6.3,13048247.3,33%,0%,67%,26.62970472690407,,,,2200530000
403,771 Commonwealth Avenue,Yes,Library,771 Commonwealth Avenue,02215,218657,106.7,Not applicable to this property type,,Library,1966.0,1581.1,7.2,23323947.3,34%,66%,0%,1.3249061315210582,,,,25887291000
404,1230 Washington St,Yes,Manufacturing/Industrial Plant,1234 Washington St,02118,60990,29.6,Not applicable to this property type,,Manufacturing/Industrial,1926.0,109.1,1.8,1806156.2,17%,83%,0%,7.506148548942449,,,,0306443000
405,170 Shawmut Ave,Yes,Manufacturing/Industrial Plant,170 Shawmut Avenue,02118,52224,40.4,Not applicable to this property type,,Manufacturing/Industrial,1960.0,124.7,2.4,2110465.2,14%,86%,0%,,,,,030616000
406,99 Atkinson St,Yes,Manufacturing/Industrial Plant,99 Atkinson St,02118,58850,65.9,Not applicable to this property type,,Manufacturing/Industrial,1950.0,237.3,4,3879916.2,18%,82%,0%,1.4834324553950722,,,,0801038001
407,Mass. Wholesale Food Terminal,Yes,Manufacturing/Industrial Plant,130 Newmarket Square,02118,160000,140.2,Not applicable to this property type,,"Manufacturing/Industrial, Parking",1952.0,1727.6,10.8,22429040.1,55%,45%,0%,22.455,,,,0801021070
408,Quinzani's Bakery,Yes,Manufacturing/Industrial Plant,380 Harrison Ave,02118,51188,543.7,Not applicable to this property type,,Manufacturing/Industrial,1980.0,1719.4,33.6,27828406.1,20%,80%,0%,25.716964913651637,,,,Not Available
409,Dutchmaid Bakery,Yes,Manufacturing/Industrial Plant,40-42 Sturtevant Street,02122,63000,424.1,Not applicable to this property type,,Manufacturing/Industrial,1973.0,1935.9,30.7,26717265.1,44%,56%,0%,44.81587301587302,,,,1600509010
410,"Diamond 98, LLC",Yes,Manufacturing/Industrial Plant,99 East Cottage Street,02125,56250,55.4,Not applicable to this property type,,Manufacturing/Industrial,1945.0,199.2,3.5,3119034.4,25%,75%,0%,3.2391111111111113,,,,03646-000
411,SPIRE 65 BAY ST LLC,Yes,Manufacturing/Industrial Plant,65 BAY STREET,02125,75000,130.5,Not applicable to this property type,,Manufacturing/Industrial,2001.0,916.5,12.2,9785825.9,93%,7%,0%,565.228,,,,1503130010
412,Worcester City Campus Corp. - MassBiologics,Yes,Manufacturing/Industrial Plant,460 Walk Hill Street,02126,155000,611.9,Not applicable to this property type,,"Manufacturing/Industrial, Parking",2004.0,6502.8,42,94841051.1,35%,65%,0%,87.07741935483871,,,,1405198150
413,The Gillette Company,Yes,Manufacturing/Industrial Plant,One Gillette Park,02127,1526083,684.5,Not applicable to this property type,,Manufacturing/Industrial,1905.0,55700.1,36.5,1044563857.3,0%,100%,0%,23.424348479080102,,"11/10/2014: corrected site information to identify 14 buildings with total area equal to 1,527,083 square feet and oldest built in 1905.",,0601169000
414,Bunker Hill Business Center,Yes,Manufacturing/Industrial Plant,440 Rutherford Avenue,02129,53525,12.1,Not applicable to this property type,,Manufacturing/Industrial,1954.0,35.2,0.7,648378.9,3%,97%,0%,0.7529191966370855,,,,0202162085
415,Fiber Building,Yes,Manufacturing/Industrial Plant,490 R Rutherford Ave,02129,67000,40.9,Not applicable to this property type,,Manufacturing/Industrial,1965.0,246.1,3.7,2740827.4,84%,16%,0%,1.7701492537313432,,,,0202162080
416,Zero-Sort Building,Yes,Manufacturing/Industrial Plant,410 R Rutherford Ave,02129,81000,175.3,Not applicable to this property type,,Manufacturing/Industrial,1965.0,1279.6,15.8,14200697.1,85%,15%,0%,11.192592592592593,,,,0202162095
417,145 Newton Street,Yes,Manufacturing/Industrial Plant,145 Newton Street,02135,110510,49,Not applicable to this property type,,Manufacturing/Industrial,1965.0,523.9,4.7,5415698.4,100%,0%,0%,0.8886073658492444,,,,03428-000
418,35 Kneeland Street,Yes,Medical Office,35 Kneeland Street,02111,115272,126.9,26,,Medical Office,1940.0,1276.2,11.1,14630532.3,69%,0%,31%,28.096155180789783,,,,0305367000
419,PHS-MGH-CRP 165,Yes,Medical Office,165 Cambridge St.,02114,157187,73.3,49,,Medical Office,1965.0,1114.4,7.1,11518955.8,100%,0%,0%,39.208713188749705,,,,0300660024
420,PHS-MGH-CRP 175,Yes,Medical Office,175 Cambridge St.,02114,90472,86,29,,Medical Office,2004.0,752.7,8.3,7780598,100%,0%,0%,10.961402422849059,,,,0300660020
421,PHS-MGH-Simches,Yes,Medical Office,185 Cambridge St,02114,353535,289.3,36,,Medical Office,2000.0,8066.7,22.8,102264211.5,59%,41%,0%,55.61033561033561,,,,Not Available
422,HSDM-Main,Yes,Medical Office,188 Longwood Ave,02115,40251,229.6,7,,Medical Office,1909.0,650.7,16.2,9241279,23%,0%,55%,34.51094382748255,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,0401882000
423,100 East Newton Street (635 Albany) G Building,Yes,Medical Office,100 East Newton Street,02118,89406,Not Available,Not Available,,Medical Office,1969.0,Not Available,Not Available,Not Available,0%,0%,0%,8663.813390600184,,,,0801295000
424,609 Albany Street,Yes,Medical Office,609 Albany Street,02118,35036,Not Available,Not Available,,Medical Office,1990.0,0,0,Not Available,0%,0%,0%,5010.851695399018,,,,Not Available
425,750 Harrison Avenue,Yes,Medical Office,750 Harrison Avenue,02118,56487,Not Available,Not Available,,Medical Office,1918.0,Not Available,Not Available,Not Available,0%,0%,0%,8559.480942517748,,,,Not Available
426,82 East Concord Street (715 Albany Street),Yes,Medical Office,82 East Concord Street,02118,82153,Not Available,Not Available,,Medical Office,1876.0,0,0,Not Available,0%,0%,0%,1547.0682750477768,,,,0801418000
427,PHS-MGH-CNY Bldg 114,Yes,Medical Office,114 16th Street,02129,160352,247.9,19,,Medical Office,1904.0,2793.1,17.4,39756028.4,39%,61%,0%,44.35866094591898,,,,0203510050
428,PHS-MGH-CNY Bldg. 149,Yes,Medical Office,149 13th Street,02129,733715,275.7,12,,Medical Office,1919.0,15705.9,21.4,202309865.1,56%,44%,0%,44.546724545634206,,,,0203510451
429,"HTA - St. Elizabeth's MOB 1, LLC",Yes,Medical Office,11 Nevins Street,02135,50676,53.6,69,,Medical Office,1988.0,262.7,5.2,2715572.7,100%,0%,0%,,,,,2101835200
430,648 Beacon Street,Yes,Medical Office,648 Beacon Street,02215,49950,80.4,76,,Medical Office,1942.0,287.9,5.8,4015177.8,43%,57%,0%,11.335335335335335,,,,0503749000
431,DFCI - Yawkey Building,Yes,Medical Office,450 Brookline ave,02215,291451,413.7,4,,Medical Office,2010.0,8350.5,28.7,120585847.7,25%,0%,46%,15.91313805751224,,,,401916000
432,Harvard Vanguard Medical Associates,Yes,Medical Office,133 brookline Ave,02215,380667,206.4,Not Available,,"Data Center, Medical Office, Parking",1900.0,4507.2,16.2,57522513.4,58%,42%,0%,658.4285186261739,,This was first reported without a data center in error Data center Added,,2100074000
433,75 State Street,Yes,Mixed Use Property,75 State Street,02109,1048261,55.6,90,"2015, 2013, 2012, 2010, 2009, 2008","Financial Office, Office, Other, Other - Restaurant/Bar, Parking, Retail Store",1987.0,4374,5.4,45211787.2,100%,0%,0%,10.95650719756634,,,,0303860000
434,Millennium Place Primary-South Tower,Yes,Mixed Use Property,2 Avery Street,02111,1096510,164.3,Not applicable to this property type,,"Fitness Center/Gym, Hotel, Movie Theater, Multifamily Housing, Office, Parking, Retail Store",2000.0,10144.4,11.7,143001613.8,41%,59%,0%,44.411699824902456,,,,0304870400
435,BrentonCorpLLC,Yes,Mixed Use Property,242-260 East Berkeley Street,02115,52520,6.6,Not applicable to this property type,,"Bar/Nightclub, Manufacturing/Industrial, Office, Restaurant",1880.0,33.5,0.6,346031.4,100%,0%,0%,18.34158415841584,,,,Not Available
436,140 Clarendon,Yes,Mixed Use Property,140 Clarendon Street,02116,146533,114.3,Not applicable to this property type,,"Barracks, Fast Food Restaurant, Hotel, K-12 School, Office, Other, Other - Lodging/Residential, Other - Services, Performing Arts, Self-Storage Facility, Social/Meeting Hall",1930.0,1389.4,9.5,16752151.4,54%,0%,46%,40.37315826469123,,Property Gross Floor Area value is taken from Boston Tax Assessor Database Records. All property use gross floor area values are taken from Building Occupancy Plans.,,0401085000
437,Exeter Theatre Corporation,Yes,Mixed Use Property,26 Exeter Street,02116,46025,54.9,Not Available,,"Office, Other - Education, Other - Restaurant/Bar",1899.0,240,5.2,2528383.6,96%,4%,0%,104.24551873981532,,,,0501376000
438,Revere Hotel,Yes,Mixed Use Property,200 Stuart Street,02116,660000,152.4,Not Available,,"Hotel, Parking, Restaurant",2012.0,5099.3,13.1,59312305.3,70%,13%,17%,37.215284201870695,,,,0500135000
439,The Heritage on the Garden,Yes,Mixed Use Property,300 Boylston Street,02116,444690,83.3,19,,"Multifamily Housing, Office, Other, Other - Services, Parking, Restaurant",1988.0,2767.7,7.7,29794799.6,91%,9%,0%,23.13192436537719,,,,0501170002
440,W Hotel Boston,Yes,Mixed Use Property,100 Stuart St.,02116,392547,86.3,47,,"Hotel, Multifamily Housing, Parking",2009.0,2430.4,6.7,31224205.4,41%,7%,52%,,,,,0500075030
441,One Brigham Circle,Yes,Mixed Use Property,1620 Tremont Street,02120,296873,141.4,42,,"Medical Office, Office, Parking, Restaurant, Retail Store, Supermarket/Grocery",2003.0,2663.7,13.4,28201003.8,95%,5%,0%,27.167914020321923,,,,1000649000
442,DAUGHTERS OF ST PAUL INC,Yes,Mixed Use Property,50 ST PAULS AVENUE,02130,174000,51.3,Not applicable to this property type,,"Office, Residence Hall/Dormitory",1955.0,592.1,3.4,8918255.1,25%,64%,0%,12.098275862068965,,,,1902625000
443,HBS Shad Hall,Yes,Mixed Use Property,70 North Harvard Street,02163,132424,133,Not applicable to this property type,,"Data Center, Office, Other - Recreation",1990.0,1381.6,10.4,17612827.1,53%,31%,16%,13.924213133570953,28784.0,"Shad Hall has its own water meter.
Shad data center electric meter is a submeter of the building electric meter. 

A 25 kW solar PV system was installed approx. 10 years ago.",,2200530000
444,Independence Wharf,Yes,Mixed Use Property,470 Atlantic Avenue,02210,442217,55.7,94,,"Financial Office, Office, Parking",2001.0,2022.2,4.9,23080401.9,70%,0%,30%,10.239431043473223,,,,0302956000
445,Jamestown - 21-25 Drydock Ave Boston,Yes,Mixed Use Property,21-25 Drydock Ave,02210,716455,56.5,Not applicable to this property type,,"Manufacturing/Industrial, Non-Refrigerated Warehouse, Office, Other",1985.0,2321.7,3.2,40509835.1,10%,90%,0%,5.228520981778339,,,,0602674013
446,Longwood Galleria,Yes,Mixed Use Property,400 Brookline Avenue,02215,295857,154.4,Not applicable to this property type,,"Hotel, Multifamily Housing, Office, Other, Other - Restaurant/Bar, Parking, Retail Store",1969.0,3815.2,13,45199526.4,65%,14%,21%,62.62241882867342,,,,0401914000
447,26570 - Boston Commons 19,Yes,Movie Theater,175 Tremont Street,02111,113000,96.5,Not applicable to this property type,,Movie Theater,1990.0,1055.2,9.3,10906867.5,100%,0%,0%,0,,,,0304870408
448,Commonwealth Apartments,Yes,Multifamily Housing,1293 Commonwealth Avenue,01234,136861,87,69,,Multifamily Housing,1905.0,1075.6,7.9,11906476.6,19%,4%,0%,45.22910105873843,,"According to Boston's tax assessor database, parcel id 2101031000 has a gross area of 10,470 square feet. This building also has less than 50 units. It seems that this development was erroneously required to report and that the requirement to report was based on a roll-up of unit counts across different apartment complexes owned by the same owner. Therefore, the data reported is based on the energy and water data of 10 buildings in the Commonwealth Apartments development. ",,2101031000
449,River House Condo Trust,Yes,Multifamily Housing,3000 Davenport Avenue Suite 201,02021,178000,50.8,100,,Multifamily Housing,1900.0,515.2,2.9,9042578.2,9%,91%,0%,31.95,,,,0502442001
450,Tremont Residential (Grandview Condo),Yes,Multifamily Housing,"c/o The Niles Company, Inc.",02021,156534,58.4,75,,Multifamily Housing,1900.0,624.5,4,9140525.3,35%,65%,0%,19.35042866086601,,,,0304847010
451,45 Province Condominium,Yes,Multifamily Housing,45 Province Street,02108,195022,91.3,1,,Multifamily Housing,2009.0,1722.4,8.8,17803461.6,100%,0%,0%,28.697787941873223,,,,0304705000
452,Boston View Apartments,Yes,Multifamily Housing,130 Bowdoin Street,02108,214543,39.3,96,,"Multifamily Housing, Parking",1967.0,561.6,2.7,8210786.3,35%,65%,0%,20.402385427277466,,,,Not Available
