,Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
386,Harvard Institutes of Medicine (HIM),Yes,Laboratory,4 Blackfan St,2115,"295,537",451.8,Not Available,,Laboratory,1992,"9,130.70",30.9,"133,512,326.80",28.90%,0.00%,45.40%,132.3,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies Steam and Chilled Water for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered.  NSTAR provides electrical service.HIM building operates a 24/7 critical environment laboratory for scientfic research.  ",,401849000,"2014, 2015, 2016, 2017, "
387,Bosbh-Boston Hilton Back Bay,Yes,Hotel,40 Dalton Street,2115,"393,752",67.7,69,,Hotel,2007,"2,039.50",5.2,"26,662,920.20",60.40%,10.60%,29.00%,44.2,,,,401327000,"2015, 2016, 2017, "
388,TDC III: 400 Mass Ave,Yes,Multifamily Housing,400 Massachusetts Avenue,2115,"60,000",44,100,,Multifamily Housing,1990,151.7,2.5,"2,640,289.60",13.40%,86.60%,,37.6,,,,900740000,"2017, "
389,Administration Building/Wilkens Science Center,Yes,College/University,400 The Fenway,2115,"166,153",160.9,Not Available,,"College/University, Data Center, Parking",1919,"1,777.80",10.7,"26,734,261.10",41.40%,58.60%,,20.3,,"Two buildings sharing utility meters. Building contains classrooms, science labs, office spaces, parking as well as a small dining hall.Gross square footage includes 56,712 square feet for parking garage.",,401847000,"2014, 2015, 2016, 2017, "
390,Julie Hall,Yes,Residence Hall/Dormitory,400 The Fenway,2115,"53,826",40.5,98,,Residence Hall/Dormitory,1958,134.8,2.5,"2,182,064.10",26.80%,73.20%,,16.2,,"Julie Hall was razed in June 2016. A new residential hall will be built in its place and is scheduled to open August 2018. Julie Hall get electricity from MATEP rather than NSTAR.Between October 2014 and January 2015, we upgraded 144 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 50,000 kWh in this building.",,401862030,"2014, 2015, 2016, 2017, "
391,Jean Yawkey Center/Marian Hall,Yes,College/University,400R The Fenway,2115,"87,877",191,Not Available,,"College/University, Parking",1954,"1,094.10",12.5,"16,782,829.80",37.40%,62.60%,,22.1,,"Building contains gymnasium, fitness center, dining hall, classrooms, office spaces and parking.Gross square footage includes 33,600 square feet for parking garage.Between October 2014 and January 2015, we upgraded 413 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 184,000 kWh in these buildings.",http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html,401847000,"2014, 2015, 2016, 2017, "
392,Waldorf Associates LLC,Yes,Multifamily Housing,41 43 Edgerly Road,2115,"21,402",Not Available,Not Available,,Multifamily Housing,1921, -   ,0, Not Available ,,,,,,,,401409000,"2017, "
393,416 Marlborough Street Condominium Trust,Yes,Multifamily Housing,41 6 Marlborough Street,2115,"78,100",48.2,75,,Multifamily Housing,1988,271,3.5,"3,766,014.20",58.30%,41.70%,,40.2,,,,503596000,"2015, 2016, 2017, "
394,Emmanuel College,Yes,Medical Office,41 Avenue Louis Pasteur,2115,"50,000",189.8,3,,"Medical Office, Parking",1948,624.2,12.5,"9,491,353.60",39.10%,60.90%,,16.8,,,,401847015,"2017, "
395,CO/GLC 6130007/41 BELVIDERE ST/BOSTON/MA,Yes,Office,41 BELVIDERE ST,2115,"119,288",213.7,1,,Office,1905,"2,098.80",17.6,"25,492,177.50",90.40%,9.60%,,24,,,,401314000,"2015, 2016, 2017, "
396,Symphony Court Condo,Yes,Multifamily Housing,41 Westland Ave,2115,"72,000",56.4,24,,Multifamily Housing,1960,303,4.2,"4,057,808.60",66.70%,33.30%,,19.1,,,,401482000,"2015, 2016, 2017, "
397,St. Ann Hall,Yes,Residence Hall/Dormitory,410 The Fenway,2115,"49,803",64.8,80,,Residence Hall/Dormitory,1962,203,4.1,"3,227,483.20",30.30%,69.70%,,34.4,,"In August 2014, we replaced an aging boiler with a high-efficiency condensing boiler.Between October 2014 and January 2015, we upgraded 215 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 73,000 kWh in this building.",http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html,401847000,"2014, 2015, 2016, 2017, "
398,Loretto Hall,Yes,Residence Hall/Dormitory,420 The Fenway,2115,"57,190",70.3,79,,Residence Hall/Dormitory,1964,246.5,4.3,"4,022,599.40",25.20%,74.80%,,35.3,,"Between October 2014 and January 2015, we upgraded 267 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 85,000 kWh in this building.",http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html,401847000,"2014, 2015, 2016, 2017, "
399,Westland Ave Garage,Yes,Supermarket/Grocery Store,43 Westland Ave,2115,"18,175",335.3,24,,"Parking, Supermarket/Grocery Store",1978,480.2,26.4,"6,094,492.10",79.40%,20.60%,,94.8,,,,401460000,"2017, "
400,St. Joseph Hall,Yes,Residence Hall/Dormitory,430 The Fenway,2115,"94,450",42.6,89,,Residence Hall/Dormitory,1966,270.2,2.9,"4,022,853.60",43.40%,56.60%,,40,,"Between October 2014 and January 2015, we upgraded 394 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 135,000 kWh in this building.The gas meter was broken between August, 2015 - January, 2016. Therefore, the usage amounts are estimated based on the monthly charges. ",http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html,401847000,"2014, 2015, 2016, 2017, "
401,Parking Garage,Yes,Parking,45 Avenue Louis Pasteur,2115,"50,000",6.8,Not Available,,Parking,1948,29,0.6,"339,352.60",100.00%,,,,,,,401847015,"2017, "
402,LHRRB,Yes,Laboratory,45 Shattuck St,2115,"66,053",381.8,Not Available,,Laboratory,1977,"1,681.80",25.5,"25,219,343.90",32.00%,,25.60%,22.9,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,401882000,"2014, 2015, 2016, 2017, "
403,"Rubenstein,Burstein Campus",Yes,College/University,454-458-460 Huntington Avenue,2115,"81,306",56.7,Not Available,,College/University,1926,277.5,3.4,"4,612,029.90",21.80%,78.20%,,27.6,,,,"402033000, 402032000, 402034000","2014, 2015, 2016, 2017, "
404,"46 Westland Ave - Forty-Six Westland Avenue, LLC",Yes,Multifamily Housing,46 Westland Avenue,2115,"30,565",2.1,100,,Multifamily Housing,1926,5.4,0.2,"64,550.30",92.10%,7.90%,,6.1,,,,401516000,"2017, "
405,Museum of Fine Arts,Yes,Museum,465 Huntington Ave,2115,"630,000",281.7,Not Available,,Museum,1900,"11,825.20",18.8,"177,500,729.30",41.80%,58.20%,,40,,,,401796000,"2014, 2016, 2017, "
406,Beacon Towers Condominium,Yes,Multifamily Housing,479-483 Beacon St,2115,"70,000",72.1,66,,Multifamily Housing,1890,315,4.5,"5,050,229.20",28.60%,71.40%,,32.4,,Property square footage is estimated based on the total rentable space plus common areas.,,503644000,"2015, 2016, 2017, "
407,Kenmore Abbey,Yes,Multifamily Housing,488 Commonwealth Avenue,2115,"155,251",77.5,65,2016,"Multifamily Housing, Retail Store",1978,762.4,4.9,"12,031,093.40",31.70%,68.30%,,47,,,,503924000,"2015, 2016, 2017, "
408,Hemenway Apartments,Yes,Multifamily Housing,491 Huntington Ave,2115,"70,300",115.1,24,,Multifamily Housing,1900,483.8,6.9,"8,091,424.10",20.60%,79.40%,,85.2,,"Energy/Water usage + building characteristics cover three connected buildings: 491 Huntington Ave (6 Museum Rd): 0401797000497 Huntington Ave: 0401798000499 Huntington Ave: 0401799000",,401797000,"2015, 2016, 2017, "
409,Church Court Condominium,Yes,Multifamily Housing,492 Beacon Street,2115,"60,000",20.9,99,,Multifamily Housing,1900,106.5,1.8,"1,252,169.70",98.70%,1.30%,,23.8,,,,503692000,"2017, "
410,PHS-BWH-ServiCenter Garage,Yes,Mixed Use Property,"500 Brookline Avenue, or",2115,"71,806",248.2,Not Available,,"Medical Office, Parking",1970,"1,169.70",16.3,"17,818,822.50",20.00%,,51.40%,811.4,,"Combination Parking, Dr. Offices, and HVAC shops for main hospital.",,1000240000,"2014, 2015, 2016, 2017, "
411,504 Beacon,Yes,Multifamily Housing,504 Beacon Street,2115,"19,824",9.6,100,,Multifamily Housing,1900,33.8,0.8,"395,577.00",100.00%,,,,,,,503693000,"2017, "
412,The Badminton and Tennis Club,Yes,Other - Entertainment/Public Assembly,52 Hemenway Street,2115,"25,000",Not Available,Not Available,,Other - Entertainment/Public Assembly,1937, Not Available ,Not Available, Not Available ,,,,6.8,,,,401451000,"2017, "
413,Wentworth Institute of Technology,Yes,College/University,550 Huntington Ave.,2115,"1,355,705",85.9,Not Available,,"College/University, Parking",1910,"7,447.90",5.5,"116,404,838.30",33.60%,66.40%,,18.6,,,,402024000 402025000 401826000 402037001 401810000 401833000 401832000 401831000 401830000 401815000 401814000 401812000 401811000 401816000 401817000 401819000 402044000 402045000 902907000 402031000 401822000,"2014, 2015, 2016, 2017, "
414,Engine 37,Municipal ,Fire Station,560 Huntington Ave,2115,"15,824",96.1,Not Available,,Fire Station,2000,89.4,5.7,"1,520,658.40",17.60%,82.40%,,,,,,402030000,"2016, 2017, "
415,Fire Alarm,Municipal ,Fire Station,59 Fenway,2115,"13,040",271.6,Not Available,,Fire Station,2000,237.6,18.2,"3,541,947.50",43.20%,56.80%,,,,,,504175006,"2016, 2017, "
416,Pizzi Family Trust,Yes,Other - Lodging/Residential,60 Fenway St,2115,"33,882",Not Available,Not Available,,Other - Lodging/Residential,1910, -   ,Not Available, Not Available ,,,,,,,,401721000,"2017, "
417,The Park Drive Condominium,Yes,Multifamily Housing,63-69 Park Drive,2115,"35,000",70.6,86,,Multifamily Housing,1925,144.7,4.1,"2,469,639.00",16.90%,83.10%,,45.8,,Gross floor area was estimated using the total rentable area plus common areas.,,504253000,"2015, 2016, 2017, "
418,64-70 Burbank St. Apt: 64 Burbank St.,Yes,Multifamily Housing,64 Burbank St,2115,"37,136",48.7,96,,Multifamily Housing,1912,110.3,3,"1,808,377.10",24.40%,75.60%,,22,,Eversource confirmed only one service address for the property (64 Burbank Street) - and the request was placed accordingly for the whole building aggregated usage. The usage reported reflects the data that was provided directly by Eversource for the whole building. ,,401476000,"2017, "
419,Westland Ave Apartments,Yes,Multifamily Housing,65 Westland Ave,2115,"114,949",56,73,,Multifamily Housing,1900,407.8,3.5,"6,442,370.40",31.50%,68.50%,,34.2,,,,401512000,"2015, 2016, 2017, "
420,Charlesbank Apartments: 650 Huntington Avenue,Yes,Multifamily Housing,650 Huntington Avenue,2115,"228,052",100.9,42,,Multifamily Housing,2012,"1,348.90",5.9,"22,999,642.80",17.10%,82.90%,,44.8,,Parcel ID 1000015000 is associated with 650 Huntington in Tax Assessor Database but on CBL it is listed as Longwood Ave. ,,1000015000,"2015, 2016, 2017, "
421,"Buildings 1, 2, 3 & 4 (Rollup)",Yes,College/University,650-665-677 Huntington Ave,2115,"534,676",254.4,Not Available,,College/University,1960,"10,143.30",19,"136,000,710.90",30.90%,0.40%,37.30%,1224.8,,"This property is being submitted as a roll-up of 4 different buildings within this Parcel. Profile includes the following buildings with combined total energy and water consumption:665 Huntington Ave - Building #1665 Huntington Ave - Building #2650 Huntington Ave - Building #3677 Huntington Ave - Building #4 ",,401880000,"2016, 2017, "
422,660 Huntington Ave-collegeUniversity,Yes,College/University,660 Huntington Ave,2115,"58,315",0.3,Not Available,,College/University,2013,1.6,0,"18,800.70",100.00%,,,12.1,,,,1000037000,"2017, "
423,"660 Huntington Ave, 52-collegeUniversity",Yes,College/University,"660 Huntington Ave, 52",2115,"58,315",43.2,Not Available,,College/University,2013,138.3,2.4,"2,516,888.60",5.70%,94.30%,,,,,,1000037000,"2017, "
424,662 Huntington Ave-collegeUniversity,Yes,College/University,662 Huntingtn Ave,2115,"51,729",145.8,Not Available,,College/University,1995,488,9.4,"7,544,577.00",35.80%,64.20%,,,,,,401844000,"2015, 2016, 2017, "
425,Davenport Commons B,Yes,College/University,696 Columbus Avenue,2115,"76,325",63.4,Not Available,,College/University,2001,306.8,4,"4,836,096.50",32.00%,68.10%,,34.5,,,,901335010,"2014, 2015, 2016, 2017, "
426,Shapiro Cardiovascular Center,Yes,Hospital (General Medical & Surgical),70 Francis Street,2115,"865,000",486.9,1,,Hospital (General Medical & Surgical),2008,"7,464.60",17.2,"211,788,775.50",46.90%,,53.10%,27,,"This account is now also services 400,000 SF laboratory building under construction.  EUI no longer accurate.  Began service to construction site in January 2015.  Estimate about 800,000 kWh per month going to the new building at this time.This electrical account is now also serving the occupied laboratory building next door.",,1000247010,"2015, 2016, 2017, "
427,Davenport Commons A,Yes,College/University,700 Columbus Avenue,2115,"122,719",60.7,Not Available,,College/University,2001,504.2,4.1,"7,449,290.90",45.10%,54.90%,,54.6,,,,901434010,"2014, 2015, 2016, 2017, "
428,Huntington Avenue: 706 Huntington Avenue,Yes,Multifamily Housing,706 Huntington Avenue,2115,"35,502",97.9,36,,Multifamily Housing,1987,203.4,5.7,"3,473,987.40",16.80%,83.20%,,42.5,,,,1000131000,"2017, "
429,On The Fens Condominium,Yes,Multifamily Housing,70-74 The Fenway,2115,"17,000",41.4,100,,Multifamily Housing,1981,42.2,2.5,"704,071.10",20.90%,79.10%,,12740827.7,,,,401719000,"2014, 2015, 2016, 2017, "
430,Columbus Place,Yes,College/University,716 Columbus Avenue,2115,"124,192",94,Not Available,,College/University,1910,816.4,6.6,"11,675,085.00",51.20%,47.60%,,8.6,,,,901417000,"2014, 2015, 2016, 2017, "
431,PHS-BWH Main Campus,Yes,Hospital (General Medical & Surgical),75 Francis Street,2115,"2,138,279",331.5,28,,Hospital (General Medical & Surgical),1910,"48,677.00",22.8,"708,888,547.80",27.30%,,35.60%,25.4,,,,401896000,"2014, 2015, 2016, 2017, "
432,Landmark Square,Yes,Multifamily Housing,75 Peterborough Street,2115,"204,157",69.8,88,,"Multifamily Housing, Parking",2000,842.4,4.1,"14,256,952.10",18.50%,81.50%,,42,,,,504311000,"2015, 2016, 2017, "
433,Warehouse,Yes,College/University,76 Atherton Street,2115,"140,197",46.1,Not Available,,College/University,1910,370.1,2.6,"6,469,842.40",12.60%,87.40%,,0.9,,,,1101222000,"2014, 2015, 2016, 2017, "
434,Westland Ave Apts: 76-78 Westland Ave,Yes,Multifamily Housing,76-78 Westland Ave,2115,"56,520",64.3,54,,Multifamily Housing,1900,231.6,4.1,"3,634,413.00",45.00%,55.00%,,30.9,,,,401507000,"2017, "
435,New Research Building (NRB),Yes,Laboratory,77 Avenue Louis Pasteur,2115,"562,781",335.4,Not Available,,"Laboratory, Parking",2003,"14,083.10",25,"188,756,434.40",43.40%,0.40%,56.20%,55,,"The Medical Area Total Energy Plant (MATEP) on Brookline Ave., Boston supplies Steam to the NRB. NSTAR provides electrical service. NRB building operates a 24/7 critical environment laboratory for scientfic research.  ",,401849000,"2014, 2015, 2016, 2017, "
436,LATIN,Municipal ,K-12 School,78 Louis Pasteur Ave.,2115,"336,545",68.8,60,,K-12 School,1922,"1,402.30",4.2,"23,140,485.10",23.20%,76.80%,,,,,,401846000,"2016, 2017, "
437,780 Columbus Avenue,Yes,College/University,780 Columbus Avenue,2115,"40,273",89.4,Not Available,,College/University,1912,240.6,6,"3,600,911.00",42.40%,57.60%,,44.9,,,,901364000,"2017, "
438,MEEI -Longwood,Yes,Ambulatory Surgical Center,800 Huntington Ave,2115,"76,300",205.9,Not Available,,Ambulatory Surgical Center,2012,"1,106.70",14.5,"15,708,250.40",53.60%,46.40%,,32.5,,,,1000894000,"2014, 2015, 2016, 2017, "
439,Peterborough Condo,Yes,Multifamily Housing,82 & 86 Jersey Street,2115,"23,803",520.3,1,,Multifamily Housing,1920,672.6,28.3,"12,385,044.60",3.70%,96.30%,,46.1,,,,504224000,"2017, "
440,Norway Housing: 87 Saint Stephen Street,Yes,Multifamily Housing,87 Saint Stephen Street,2115,"39,048",77.9,80,,Multifamily Housing,1978,180.5,4.6,"3,042,407.50",19.20%,80.80%,,41,,,,401665000,"2017, "
441,"Cahners,Cushing,kerr,Melvin Campus",Voluntary,College/University,90 The Fenway,2115,"99,293",95.9,Not Available,,College/University,1923,565.4,5.7,"9,520,638.00",19.40%,80.60%,,23.5,,,,"401708000, 401711000, 401712000, 401714000","2014, 2015, 2016, 2017, "
442,Parkside Tower,Yes,Multifamily Housing,91 Westland Avenue,2115,"98,021",19.9,100,,Multifamily Housing,1900,157.2,1.6,"1,946,500.40",85.40%,14.60%,,62.6,,,,401474000,"2016, 2017, "
443,921 Boylston St.,Yes,College/University,921 Boylston Street,2115,"58,390",80.8,Not Available,,College/University,1950,337,5.8,"4,719,967.40",56.60%,43.40%,,7.9,,,,503103000,"2016, 2017, "
444,Engine 33,Municipal ,Fire Station,941 Boylston St,2115,"11,580",48.7,Not Available,,Fire Station,2000,43,3.7,"564,366.70",71.10%,28.90%,,13.5,,,,503064000,"2016, 2017, "
445,Norway Housing: 99-103 Norway Street,Yes,Multifamily Housing,99-103 Norway Street,2115,"45,570",72.7,70,,Multifamily Housing,1978,229.7,5,"3,310,836.70",19.80%,33.50%,,43.8,,,,401410000,"2015, 2016, 2017, "
446,McBride House/St Cecilia's: StC-108 Kilmarnock st,Yes,Multifamily Housing,StC-108 Kilmarnock st,2115,"80,731",96.9,65,,Multifamily Housing,1995,488.5,6.1,"7,820,870.60",28.90%,71.10%,,48.2,,,,504281010,"2015, 2016, 2017, "
447,702 Huntington Ave Pharm-collegeUniversity,Voluntary,College/University,702 Huntington Ave Pharm,02115-5924,"347,844",1.4,Not Available,,College/University,2013,31.1,0.1,"493,645.20",30.90%,69.10%,,,,,,1000132000,"2017, "
448,One Appleton,Yes,Mixed Use Property,1 Appleton Street,2116,"40,000",53.8,94,,"Office, Restaurant",1900,143,3.6,"2,153,865.00",41.10%,58.90%,,19.8,,,,500693000,"2016, 2017, "
449,Trinity Place Condominium,Yes,Multifamily Housing,1 Huntington Ave.,2116,"177,636",131.2,1,,"Multifamily Housing, Other - Services, Parking, Restaurant",2001,"1,617.50",9.1,"23,303,856.20",43.60%,11.10%,45.40%,32,,"""Other - Services Use"" is the currently vacant health club.",,401053010,"2015, 2016, 2017, "
450,"The Westin Copley Place, Boston",Yes,Hotel,10 Huntington Avenue,2116,"885,000",Not Available,Not Available,,"Hotel, Parking, Restaurant, Swimming Pool",1982, Not Available ,Not Available, Not Available ,,,,29.8,,"Data for the meters is from our in-house meter reads, not directly from invoices. This is to ensure accuracy and consistency as well as provide more detail.",,401067010,"2014, 2015, 2016, 2017, "
451,10 St. James Ave.,Yes,Office,10 St. James Avenue,2116,"567,714",68,81,"2016, 2011, 2009, 2008, 2007","Financial Office, Office, Other, Parking",2001,"3,296.50",5.8,"38,580,609.40",100.00%,,,12,,,,501152000,"2014, 2015, 2016, 2017, "
452,Tent City,Yes,Multifamily Housing,100 -128 Dartmouth Street (130),2116,"327,174",58.3,68,,"Multifamily Housing, Retail Store",1987,"1,334.90",4.1,"19,070,423.90",52.20%,47.80%,,36.7,,,,400600040,"2015, 2016, 2017, "
453,100 Arlington,Yes,Multifamily Housing,100 Arlington Street,2116,"203,204",57.5,21,,"Food Sales, Multifamily Housing",1926,885.4,4.4,"11,685,975.10",60.30%,15.90%,23.70%,17,,Parcel ID: 0500805000,,500805000,"2015, 2016, 2017, "
454,100 Clarendon Street Garage,Yes,Other,100 Clarendon Street,2116,"843,168",19.2,Not Available,,"Bank Branch, Medical Office, Office, Other",1969,"1,362.20",1.6,"16,147,931.00",96.60%,3.30%,0.00%,1.7,,"This entire property is a garage, with the exception of two retail tenants on Dartmouth Street (Eastern Bank and Harvard Vanguard Medical Associates). The garage office is staffed 24x7 and includes a small office for Avis Rental Car.",,401082001,"2014, 2015, 2016, 2017, "
455,Copley Place,Yes,Office,100 Huntington Avenue,2116,"1,232,000",104,Not Available,,"Enclosed Mall, Office, Parking",1983,"10,816.70",8.8,"128,070,381.30",97.00%,3.00%,,24.7,,we provide chilled water to the Copley Westin Hotel and Copley Marriott Hotels . .  and electric and water consumption relates to those users NOT @ 100 HUntington Ave. ,,400600020,"2014, 2015, 2016, 2017, "
456,W Hotel & Residences Boston,Yes,Mixed Use Property,100 Stuart Street,2116,"395,858",68.6,74,,"Hotel, Multifamily Housing, Parking",2009,"1,993.80",5,"27,155,104.20",43.60%,9.60%,46.80%,31,,,,500075024,"2017, "
457,33787-Boston Copley Marriott,Yes,Hotel,110 Huntington Ave,2116,"863,000",80.9,67,,Hotel,1983,"5,316.00",6.2,"69,836,391.80",56.00%,7.10%,36.90%,30.6,,400985100,,400985100,"2015, 2016, 2017, "
458,116 Huntington,Yes,Office,116 Huntington Ave,2116,"287,141",55.8,86,"2016, 2015, 2010","Office, Parking, Restaurant",1990,"1,368.90",4.8,"16,020,600.20",100.00%,,,7.6,,,,401013010,"2015, 2016, 2017, "
459,The Colonnade Residences,Yes,Multifamily Housing,118 Huntington Avenue,2116,"172,000",131.1,Not Available,,"Multifamily Housing, Parking",2002,"1,492.80",8.7,"22,545,757.70",40.50%,59.50%,,25.3,,,,400905010,"2015, 2016, 2017, "
460,"12 Commonwealth Avenue, Boston, MA",Yes,Multifamily Housing,12 Commonwealth Avenue,2116,"42,860",83.4,84,,Multifamily Housing,1927,269,6.3,"3,573,715.20",14.50%,2.60%,,35.9,,,,0501221-000,"2015, 2016, 2017, "
461,Walker Building,Yes,College/University,120 Boylston St,2116,"176,296",79.7,Not Available,,College/University,1891,"1,097.90",6.2,"14,050,928.00",61.70%,,38.40%,,,,,500043011,"2014, 2015, 2016, 2017, "
462,120 Herald Street,Yes,Other,120 Herald Street,2116,"115,680",1.8,Not Available,,"Other, Parking",1967,17.8,0.2,"208,300.10",100.00%,,,,,this is a parking structure only.  There is no building associated. No water meter.,,500515000,"2014, 2015, 2016, 2017, "
463,The Colonnade Hotel,Yes,Hotel,120 Huntington Avenue,2116,"276,439",107.8,70,,Hotel,1971,"1,920.40",6.9,"29,787,716.40",35.10%,64.90%,,66.9,,,,400905000,"2014, 2015, 2016, 2017, "
464,126 Newbury St,Yes,Retail Store,126 Newbury St,2116,"49,896",13.8,99,,Retail Store,1960,58.9,1.2,"689,424.90",100.00%,,,5.6,,,,1320000,"2016, 2017, "
465,131 Dartmouth Street,Yes,Office,131 Dartmouth Street,2116,"379,000",91.7,Not Available,"2017, 2016","Data Center, Office, Parking, Restaurant",2003,"2,973.60",7.8,"34,802,067.50",100.00%,,,29.6,,"Water meters have abatement meters for irrigation and cooling tower. Square footage for Building and garage are best estimates.",,00574000 00572000,"2014, 2016, 2017, "
466,Clarendon,Yes,Multifamily Housing,135 Clarendon Street / 400 Stuart Street,2116,"444,893",52.3,Not Available,,"Food Sales, Multifamily Housing, Parking, Retail Store",2009,"1,655.10",3.7,"23,271,366.60",55.70%,44.30%,,12,,Parcel ID: 0401129218,,401129218,"2015, 2016, 2017, "
467,137 Newbury Street,Yes,Office,137 Newbury St.,2116,"51,150",85.1,60,,Office,1929,314,6.1,"4,355,025.90",58.70%,41.30%,,15.5,,,,501339000,"2014, 2015, 2016, 2017, "
468,The Fairmont Copley Plaza (Boston),Yes,Hotel,138 St. James Ave.,2116,"334,522",138.2,26,,Hotel,1985,"3,064.30",9.2,"46,231,746.10",40.70%,59.30%,,65.9,,,,401087000,"2014, 2015, 2016, 2017, "
469,140 Clarendon,Yes,Mixed Use Property,140 Clarendon Street,2116,"146,533",110,Not Available,,"Barracks, Fast Food Restaurant, Hotel, K-12 School, Office, Other, Other - Lodging/Residential, Other - Services, Performing Arts, Self-Storage Facility, Social/Meeting Hall",1930,"1,237.00",8.4,"16,116,935.10",54.40%,,45.70%,39.6,,"Energy Star score not created because largest portion of building is not 50% of the total, and is not a property type that can generate an energy star score. Building setup was left the way it was reported for this reason",,401085000,"2014, 2015, 2016, 2017, "
470,142 Berkeley Street,Yes,Mixed Use Property,140-144 Berkeley Street,2116,"120,000",110.4,84,,"Office, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant, Retail Store",1890,"1,033.80",8.6,"13,245,871.10",34.20%,,,19.5,,,,401146000,"2016, 2017, "
471,Piano Row,Yes,Residence Hall/Dormitory,144/150 Boylston St,2116,"199,874",133.7,14,,Residence Hall/Dormitory,2006,"1,990.50",10,"26,713,522.30",43.00%,0.60%,56.50%,27.6,,,,500031000,"2014, 2015, 2016, 2017, "
472,Emmanuel Church,Yes,Worship Facility,15 Newbury Street,2116,"43,779",54.2,42,,Worship Facility,1861,165.7,3.8,"2,373,093.60",18.00%,,82.00%,16.1,,,,501198000,"2016, 2017, "
473,SNOWDEN,Municipal ,K-12 School,150 Newbury St.,2116,"36,400",49.1,85,,K-12 School,1885,125,3.4,"1,785,873.30",52.30%,47.70%,,,,,,501412000,"2016, 2017, "
474,ABRAHAM LINCOLN,Municipal ,K-12 School,152 Arlington St.,2116,"80,364",52.4,95,,K-12 School,1911,246.7,3.1,"4,207,254.70",17.10%,82.90%,,,,,,500746000,"2016, 2017, "
475,New England Law/Boston,Yes,Other - Education,154 Stuart St.,2116,"65,000",84.5,Not Available,,Other - Education,1879,415.7,6.4,"5,493,920.80",69.70%,30.30%,,1,,,,302615000,"2015, 2016, 2017, "
476,Liberty Mutual Tower,Voluntary,Office,157 Berkeley Street,2116,"757,241",77.8,89,"2017, 2016, 2015","Office, Parking, Restaurant",2013,"4,213.00",5.6,"58,880,477.60",57.00%,43.00%,,15.1,,,,0501149000 0501150000 0501148000,"2015, 2016, 2017, "
477,The Vendome,Yes,Multifamily Housing,160 Commonwealth Ave.,2116,"98,982",76.4,2,,Multifamily Housing,1871,577.6,5.8,"7,562,676.90",72.00%,28.00%,,33,,,,501383000,"2017, "
478,162 Boylston St,Yes,Office,162 Boylston Street,2116,"52,191",45.3,Not Available,,"Office, Retail Store",1899,180.4,3.5,"2,364,744.50",21.70%,1.70%,,4.3,,The heat is historically shut off in the beginning of April for the warmer months.,,500027000,"2016, 2017, "
479,175 Berkeley St. (0001),Yes,Office,175 Berkeley St.,2116,"522,349",74.1,88,"2016, 2015, 2011, 2010, 2009, 2008","Office, Parking, Restaurant",1958,"2,833.40",5.4,"38,705,477.80",62.10%,37.90%,,9.2,,"6/2013 - New Conference Center Addition opens.9/2013 - Major Bldg Renovation Project Underway.  Floors 3-10 (half of 9th Fl) are completely vacant.9/2015 - Reoccupancy of 47,026 SF 1st Floor Renovation",,0501153000 0501155000,"2014, 2015, 2016, 2017, "
480,180 beacon condominium trust,Yes,Multifamily Housing,180 beacon street,2116,"180,000",59,69,,"Multifamily Housing, Parking",1968,687.8,3.8,"10,628,599.30",35.90%,64.10%,,16.1,,,,502598000,"2014, 2015, 2016, 2017, "
481,Ansin Building,Yes,College/University,180 Tremont St,2116,"98,744",70.3,Not Available,,College/University,1931,587,5.9,"6,939,512.60",95.50%,,4.50%,12,,,,304890100,"2014, 2015, 2016, 2017, "
482,Hostelling International - Boston,Yes,Hotel,19 Stuart Street,2116,"65,000",198.1,20,,"Bank Branch, Hotel",2012,835.8,12.9,"12,879,186.50",36.40%,63.60%,,,,,,304925000,"2014, 2015, 2016, 2017, "
483,Two Clarendon,Yes,Multifamily Housing,2 Clarendon Street,2116,450,40.8,99,,Multifamily Housing,1985,147,2.8,"2,171,488.50",45.10%,54.90%,,882924330,,,,400206000,"2014, 2015, 2016, 2017, "
