,Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
341,700 Commonwealth Avenue,Yes,Residence Hall/Dormitory,700 Commonwealth Avenue,02215,425007,83.3,77,,"Parking, Residence Hall/Dormitory",1966,2231.8,5.3,35414579.7,0.23,0.77,,66.2,,,,2100347001,"2014, 2015, 2016"
342,702-718 Centre St,Yes,Other - Mall,702 B718A Centre St,02130,38250,41.5,Not Available,,Other - Mall,1925,140.7,3.7,1588768.5,0.81,0.19,,1531.5,,,,1901392000,2016
343,70-72 East Concord Street L Building,Yes,Laboratory,72 East Concord Street,02118,215224,149.6,Not Available,,Laboratory,1968,2482.6,11.5,32192123.4,0.35,0.0,0.65,9.5,,,,0801403000,"2014, 2015, 2016"
344,710 Albany Street,Yes,Parking,710 Albany Street,02118,312921,1,Not Available,,Parking,2000,30.8,0.1,318609.7,1.0,,,,,,,Not Available,"2014, 2015, 2016"
345,711 Atlantic Avenue,Yes,Office,711 Atlantic Avenue,02111,91464,79.6,78,,Office,1898,577.3,6.3,7277910.9,0.6,0.4,,9.9,,,,04309-000,"2014, 2015, 2016"
346,711 Atlantic Holdings,Yes,Office,711 Atlantic ,02108,91464,0.3,100,,Office,1900,1.7,0,32000.9,,1.0,,,,,,0304309000,"2014, 2015, 2016"
347,71-77 Summer,Yes,Office,71-77 Summer St.,02110,62622,54.9,75,,Office,1901,332.5,5.3,3436448,1.0,,,17.1,,This report covers parcels 0304561000 and 0304562000.,,0304561000 0304562000,"2014, 2015, 2016"
348,719 Washington Street,Municipal,Other,719 Washington Street,02124,1428,0.6,Not Available,,Other,2000,0.1,0.1,911,1.0000043907793634,,,,,,,Not Available,2016
349,72 K St,Yes,Office,72 K Street,02127,4200,47.8,Not Available,,Office,1900,13.9,3.3,200928.1,0.36,0.64,,4.0,,,,0603405060,"2014, 2015, 2016"
350,722-728 Commonwealth Avenue,Yes,Residence Hall/Dormitory,722-728 Commonwealth Avenue,02215,87469,95.9,79,,Residence Hall/Dormitory,1974,487.8,5.6,8391873.7,0.11,0.89,,66.1,,,,Not Available,"2014, 2015, 2016"
351,73 Tremont St,Yes,Office,73 Tremont St,02108,303975,75.9,70,"2015, 2014, 2013, 2012, 2010, 2009, 2008, 2007","Office, Other - Education, Parking",1898,2232.6,7.3,23077610.5,1.0,,,15.2,,,,0304675000,"2014, 2015, 2016"
352,730-732 Commonwealth Avenue,Yes,Laboratory,730-732 Commonwealth Avenue,02215,46022,477.5,Not Available,,"Laboratory, Parking",1990,1332.4,29,21975701.2,0.17,0.83,,13.8,,,,Not Available,2016
353,745 Atlantic Ave,Yes,Office,745 Atlantic Ave,02111,194417,75.8,64,2015,"Office, Parking",1988,1426.5,7.3,14745241.2,1.0,,,5.2,,,,0305355000,"2014, 2015, 2016"
354,745-755 Commonwealth Avenue,Yes,College/University,745-755 Commonwealth Avenue,02215,114978,254.2,Not Available,,College/University,1947,1903.1,16.6,29226603.3,0.28,0.72,,1.7,,,,25887291000,"2014, 2015, 2016"
355,75 Amory LLC,Yes,Office,75 Amory Street,02119,36000,Not Available,Not Available,,Office,1900,Not Available,0,Not Available,,,,7.1,,,,Not Available,2016
356,75 Arlington Street,Yes,Office,75 Arlington Street,02116,269327,47.3,98,,"Office, Other, Restaurant",1913,995.8,3.7,12745275.6,0.57,0.43,,9.8,,,,0501151000,"2014, 2015, 2016"
357,75 Clarendon Street Condo Trust,Yes,Multifamily Housing,c/o Barkan Management,02210,46100,56.8,35,,Multifamily Housing,1000,226.6,4.9,2617539.4,0.77,0.23,,36.4,,,,0501048000,"2015, 2016"
358,75 Kneeland St,Yes,Office,75 Kneeland St,02111,226320,105.7,61,,"Office, Restaurant",1928,1824.1,8.1,23917319.8,0.53,0.47,,14.3,,,,0305237000,"2014, 2015, 2016"
359,75 State Street,Yes,Mixed Use Property,75 State Street,02109,813261.3,64.3,89,"2016, 2015, 2013, 2012, 2010, 2009, 2008","Financial Office, Office, Other, Other - Restaurant/Bar, Parking, Retail Store",1987,5062.5,6.2,52328094.2,1.0,,,12.3,,,,0303860000,"2014, 2015, 2016"
360,750 Commonwealth Avenue,Yes,Not Available,Boston University,02215,Not Available,Not Available,Not Available,,,2013,0,Not Available,Not Available,,,,,,,,Not Available,2016
361,750 Harrison Avenue,Yes,Medical Office,750 Harrison Avenue,02118,56487,216.5,8,,Medical Office,1918,929.1,16.4,12231549.5,0.31,,0.69,26.4,,,,Not Available,"2014, 2015, 2016"
362,75-101 Federal Street,Yes,Office,75-101 Federal Street,02110,888478,66.6,76,"2015, 2014, 2012, 2009","Bank Branch, Office, Parking",1929,5605.5,6.3,59140434.7,0.94,0.01,0.06,12.9,,"This property has two Boston parcel IDs.

0304198000
0304199000

Thank-you.

Steve Di Giacomo",,0304199,"2014, 2015, 2016"
363,"755 Boylston, LLC",Yes,Multifamily Housing,755 Boylston Street,02116,54384,69.6,Not Available,,"Multifamily Housing, Restaurant",1860,312.8,5.8,3787546.3,0.68,0.32,,18.5,,,,0503207200,"2015, 2016"
364,75-85 East Newton Street (Evans)  E Building,Yes,Laboratory,75 East Newton Street,02118,180366,239.6,Not Available,,Laboratory,1972,3561.8,19.7,43219016.3,0.53,0.0,0.47,58.4,,,,Not Available,"2014, 2015, 2016"
365,765 Commonwealth Avenue,Yes,College/University,765 Commonwealth Avenue,02215,167671,174.3,Not Available,,College/University,1964,1903.1,11.4,29226603.3,0.28,0.72,,1.1,,,,25887291000,"2014, 2015, 2016"
366,771 Commonwealth Avenue,Yes,Library,771 Commonwealth Avenue,02215,218657,133.7,Not Available,,Library,1966,1903.1,8.7,29226603.3,0.28,0.72,,0.9,,,,25887291000,"2014, 2015, 2016"
367,775 Commonwealth Avenue,Yes,College/University,775 Commonwealth Avenue,02215,202105,156.8,Not Available,,College/University,1963,2034.2,10.1,31693521,0.25,0.75,,49.0,,,,25887291000,"2014, 2015, 2016"
368,778-780 Harrison Avenue R (10 Stoughton),Yes,Laboratory,780 Harrison Avenue,02118,120633,187.7,Not Available,,Laboratory,1959,2190.5,18.2,22642027.1,1.0,0.0,0.0,44.3,,,,Not Available,"2014, 2015, 2016"
369,785 Commonwealth Avenue (1 University Road),Yes,College/University,785 Commonwealth Avenue (1 University Road),02215,54767,145.1,Not Available,,College/University,1931,522.2,9.5,7948781.6,0.29,0.71,,12.4,,,,2100392000,"2014, 2015, 2016"
370,790 Harrison Ave (71 East Concord) K Building,Yes,Laboratory,790 Harrison Ave (71 East Concord),02118,77861,301.4,Not Available,,Laboratory,1904,1851.8,23.8,23464827.8,0.41,0.0,0.59,50.0,,,,0801420010,"2014, 2015, 2016"
371,8 Norwell St S&W,Yes,Not Available,8 Norwell St,02121,Not Available,Not Available,Not Available,,,1900,0,Not Available,Not Available,,,,,,,,Not Available,2016
372,80 Boylston St./ The Little Building,Yes,Residence Hall/Dormitory,80 Boylston Street,02116,216877,Not Available,Not Available,,Residence Hall/Dormitory,1917,0,0,Not Available,,,,,,,,0500001001,"2014, 2015, 2016"
373,80 K St,Yes,Office,80 K Street,02127,7200,43.3,93,,Office,1900,21.5,3,312002.3,0.36,0.64,,1.2,,,,0603405060,"2014, 2015, 2016"
374,801 Albany Street,Yes,Office,801 Albany Street ,02118,43000,52.9,Not Available,,Office,1970,152.2,3.5,2276455.5,0.31,0.69,,0.1,,Property was completely vacant for entire year of 2015. ,,Not Available,2016
375,803 Summer Street,Yes,Office,803 Summer Street,02127,36000,33.9,98,,Office,1986,97.3,2.7,1220403.3,0.61,0.39,,4.4,,,,0603405050,2016
376,808 Commonwealth Avenue,Yes,Museum,808 Commonwealth Avenue,02215,199176,93.3,Not Available,,"Museum, Parking",1928,1173,5.9,18586483.5,0.23,0.77,,8.3,,,,Not Available,2016
377,815 Albany Street,Yes,Multifamily Housing,815 Albany Street,02119,102283,97.5,5,,Multifamily Housing,2012,693.9,6.8,9967798.7,0.38,0.62,,40.5,,,,0802041010,"2014, 2015, 2016"
378,82 Devonshire St,Yes,Office,55 Congress St,02109,282995,Not Available,Not Available,,Office,1974,Not Available,Not Available,Not Available,,,,,,,,03882000,"2014, 2015, 2016"
379,82 East Concord Street (715 Albany Street),Yes,Medical Office,82 East Concord Street,02118,82153,68.1,80,,Medical Office,1876,454.5,5.5,5595895.2,0.47,,0.47,16.3,,,,0801418000,"2014, 2015, 2016"
380,82 South Huntington,Yes,Multifamily Housing,82 South Huntington Avenue,02130,80000,Not Available,Not Available,,Multifamily Housing,1969,Not Available,Not Available,Not Available,,,,,,,,Not Available,"2015, 2016"
381,83 Ivy Street,Yes,Multifamily Housing,83 Ivy Street,02446,39700,0.3,100,,Multifamily Housing,1981,1.2,0,12714.2,1.0,,,,,,,Not Available,2016
382,830-846 Commonwealth Avenue,Yes,Strip Mall,830-846 Commonwealth Avenue,02446,36153,35.5,Not Available,,Strip Mall,1966,100.6,2.8,1284315.2,0.23,0.04,,6.5,,,,Not Available,2016
383,84 State Street,Yes,Office,84 State Street,02109,133208,55.6,89,"2016, 2015, 2014, 2013, 2012, 2011","Office, Other, Restaurant",1902,668.2,5,7408422.7,0.71,,,11.0,,,,0303680-000,"2014, 2015, 2016"
384,85 E. India Row,Yes,Multifamily Housing,85 E. India Row,02110,406928,96.9,16,,Multifamily Housing,1900,2485.6,6.1,39443460.7,0.23,0.77,,20.8,,,,0302975000,2016
385,855 Boylston Street-Gateway Longwood,Yes,Office,855 Boylston,02116,155775,63.4,80,"2015, 2012","Office, Parking, Retail Store",1985,955.4,6.1,9875010.4,1.0,,,8.2,,,,03134-000,"2014, 2015, 2016"
386,855 Commonwealth Avenue,Yes,College/University,855 Commonwealth Avenue,02215,207318,90.8,Not Available,,College/University,1919,1271,6.1,18834613.7,0.33,0.67,,0.8,,,,2100397000,"2014, 2015, 2016"
387,856-862 Beacon Street,Yes,Multifamily Housing,856-862 Beacon Street,02215,35364,127.4,17,,Multifamily Housing,1985,254,7.2,4504115.5,0.08,0.92,,8.0,,,,Not Available,"2014, 2015, 2016"
388,87 Summer Street,Yes,Office,87 Summer Street,02110,27610,98.5,64,,Office,1877,182.7,6.6,2720892.4,0.32,0.68,,414.7,,,,Not Available,2016
389,871 Commonwealth Avenue,Yes,College/University,871 Commonwealth Avenue,02215,95968,155.7,Not Available,,College/University,1926,894.6,9.3,14943807,0.15,0.85,,7.9,,,,2100398000,"2014, 2015, 2016"
390,88 Black Falcon,Yes,Non-Refrigerated Warehouse,88 Black Falcon Ave.,02210,376447,68.9,66,,"Non-Refrigerated Warehouse, Office",1910,2174.4,5.8,25946279.2,0.7,0.3,,4.9,,,,02674-016,"2014, 2015, 2016"
391,881 Commonwealth Avenue,Yes,Office,881 Commonwealth Avenue,02215,107773,186.8,16,,"Medical Office, Office",1915,1387.3,12.9,20129046,0.36,0.64,,13.9,,Shares an electricity meter with 10 Buick Street,,2100399000,"2014, 2015, 2016"
392,882-888 Commonwealth Avenue,Yes,Office,882-888 Commonwealth Avenue,02446,99352,24.1,100,,Office,1921,180,1.8,2394158.2,0.51,0.49,,75.7,,,,Not Available,2016
393,890 Commonwealth Avenue,Yes,College/University,890 Commonwealth Avenue,02446,57471,87.5,Not Available,,"College/University, Parking",1995,445.4,7.7,5026857.9,0.81,0.19,,16.0,,,,Not Available,2016
394,90 Seattle St,Yes,Retail Store,90 Seattle Street,02134,36572,45.2,98,,Retail Store,2005,100.5,2.7,1651987.7,0.18,0.82,,,,,,2200181000,2016
395,900-940 Commonwealth Avenue,Yes,Other - Education,900-940 Commonwealth Avenue,02446,233000,4.3,Not Available,,Other - Education,1991,73.1,0.3,1001117.3,0.46,0.54,,,,"
",,Not Available,2016
396,91 Bay State Road,Yes,Residence Hall/Dormitory,91 Bay State Road,02215,118821,91.2,59,2013,Residence Hall/Dormitory,1923,706.8,5.9,10833372.2,0.28,0.72,,44.9,,,,0503743000,"2014, 2015, 2016"
397,910 Commonwealth Avenue,Yes,Office,910 Commonwealth Avenue,02446,45500,42.9,99,,Office,1950,159.3,3.5,1952371.2,0.33,,,3.4,,"
",,Not Available,2016
398,915 Commonwealth Avenue,Yes,Fitness Center/Health Club/Gym,915 Commonwealth Avenue,02215,286901,129.2,Not Available,,Fitness Center/Gym,2004,2716.7,9.5,37068652,0.46,0.54,,2.7,,,,2100401000,"2014, 2015, 2016"
399,921 Boylston St.,Yes,College/University,921 Boylston Street,02115,58390,86.4,Not Available,,College/University,1950,391.9,6.7,5043795.5,0.56,0.44,,9.4,,,,Not Available,"2014, 2016"
400,925 Commonwealth Avenue,Yes,Indoor Arena,925 Commonwealth Avenue,02215,303285,98.2,Not Available,,"Indoor Arena, Parking",2004,2329.1,7.7,29771122.5,0.58,0.42,,2.5,,,,2100401000,"2014, 2015, 2016"
401,960 Mass Ave.,Yes,Other,960 Massachusetts Ave,02118,77000,56,Not Available,,Other,1920,305.9,4,4311114.4,0.41,0.59,,6.8,,,,Not Available,"2014, 2015, 2016"
402,9673r-Renaissance Boston Waterfront,Yes,Hotel,606 Congress Street,02210,405633,123.1,45,,Hotel,2008,3558.7,8.8,49924212.9,0.42,0.58,,35.1,,,,3351813,"2015, 2016"
403,98 N. Washington Street,Yes,Office,98 N. Washington Street,02114,80528,45.4,91,,"Office, Parking",1986,315.3,3.9,3652344,0.76,0.24,,10.1,,,,0301518000,"2015, 2016"
404,983-985 Commonwealth Avenue,Yes,Office,983-985 Commonwealth Avenue,02215,36865,423.2,1,,Office,1981,956.4,25.9,15601962.6,0.19,0.81,,5.0,,,,Not Available,"2014, 2015, 2016"
405,99 Bedford Street,Yes,Office,99 Bedford Street,02111,93779,71.1,85,"2015, 2012",Office,1874,518,5.5,6663746.4,0.56,0.44,,6.6,,,,0304245000,"2014, 2015, 2016"
406,99 Chauncy Street,Yes,Office,99 Chauncy Street,02111,108106,54.6,94,,Office,1968,459,4.2,5907219.7,0.56,0.44,,6.9,,,,0304504000,"2014, 2015, 2016"
407,99 Chestnut Hill Park,Yes,Multifamily Housing,99 Chestnut Hill Park,02135,57949,50.2,78,,Multifamily Housing,2005,211.2,3.6,2908398.8,0.45,0.55,,29.8,,Estimated Floor area,,2204946000,"2015, 2016"
408,99 High Street,Yes,Office,99 High Street,02110,731205,79.7,88,"2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007","Bank Branch, Office, Other - Restaurant/Bar, Parking",1969,4533.7,6.2,58310014.5,0.56,0.44,,13.1,,,,0304390000,"2014, 2015, 2016"
409,99 Summer Street,Yes,Office,99 Summer Street,02110,291332,53.3,88,,"Office, Parking",1987,1448.9,5,15532506.3,0.92,0.08,,13.2,,,,Not Available,"2014, 2016"
410,A-01 Station,Municipal,Police Station,40 NEW SUDBURY ST,02114,37433,161.5,Not Available,,Police Station,2000,418.6,11.2,6044764.6,0.369702480060183,0.6302975209324115,,,,,,Not Available,2016
411,A-07 Station,Municipal,Police Station,69 Paris St,02128,16194,149.2,Not Available,,Police Station,2000,164.9,10.2,2416514.2,0.34666224597397355,0.6533377623024106,,,,,,Not Available,2016
412,A-15 Station,Municipal,Police Station,20 Vine St,02129,20000,87.4,Not Available,,Police Station,2000,138.3,6.9,1747053.1,0.597150206825425,0.40284979546414473,,,,,,Not Available,2016
413,ABRAHAM LINCOLN,Municipal,K-12 School,152 Arlington St.,02116,80364,41.4,99,,K-12 School,1911,202.4,2.5,3324812.2,0.1775776929596204,0.8224223070271457,,,,,,Not Available,2016
414,Academy Homes I,Yes,Multifamily Housing,1592 Columbus Ave,02119,365000,58,99,,Multifamily Housing,1962,1206.8,3.3,21186310,0.09,0.91,,42.5,,,,1100916001,2016
415,Academy Training,Municipal,Police Station,85 Williams Ave,02136,59500,43.3,Not Available,,Police Station,2000,55.9,0.9,2575807.5,0.22430278039022714,,,,,,,Not Available,2016
416,Activities Building,Yes,College/University,180 Riverway,02215,98044,60.5,Not Available,,College/University,1967,500.4,5.1,5929953.7,0.72,0.28,,26.0,,,,0402000000,"2014, 2015, 2016"
417,Acura of Boston,Yes,Automobile Dealership,1600 Soldiers Field Rd,02135,42389,15763.6,Not Available,,Automobile Dealership,1960,64541.6,1522.6,668204063.8,1.0,0.0,,20.4,,,,2202755000,2016
418,ADAMS,Municipal,K-12 School,165 Webster St.,02128,41336,47.7,99,,K-12 School,1910,118.3,2.9,1971692.7,0.1577794105541903,0.8422205817366976,,,,,,Not Available,2016
419,Adams Court-A,Yes,Multifamily Housing,415 River Street,02126,48580,58.5,84,,"Multifamily Housing, Parking",1965,182.6,3.8,2843801.3,0.25,0.75,,58.5,,,,1801010000 1801012000,"2015, 2016"
420,Adams Street Branch,Municipal,Library,690 Adams St,02122,7189,75.4,Not Available,,Library,2000,35.2,4.9,542054.6,0.2705531582980755,0.7294467632485732,,,,,,Not Available,2016
421,Administration Building/Wilkens Science Center,Yes,College/University,400 The Fenway,02115,166153,170.6,Not Available,,"College/University, Data Center, Parking",1919,1985.9,12,28347216.5,0.39,0.61,,20.1,,"Two buildings sharing utility meters. Building contains classrooms, science labs, office spaces, parking as well as a small dining hall.

Gross square footage includes 56,712 square feet for parking garage.",,0401847000,"2014, 2015, 2016"
422,African American Museum,Municipal,Museum,46 Joy St,02114,4500,Not Available,Not Available,,Museum,2000,0,0,Not Available,,,,,,,,Not Available,2016
423,AGASSIZ,Municipal,K-12 School,20 Child St.,02130,115400,89.8,57,,K-12 School,1972,625.1,5.4,10362894.5,0.1651753405383023,0.83482465365251,,,,,,Not Available,2016
424,Albert A. Pope Condominium Trust,Yes,Not Available,221 Columbus Ave,02116,Not Available,Not Available,Not Available,,,1891,Not Available,Not Available,Not Available,,,,,,,,Not Available,2016
425,Aldrich Hall,Yes,College/University,35 Harvard Way,02163,105818,62.9,Not Available,,College/University,1953,537.1,5.1,6657342.5,0.47,,0.53,21.9,,"Water is allocated by gross square footage for this property, and does not represent actual usage.",,2200530000,"2014, 2015, 2016"
426,Alger Street Realty LLC,Yes,Other - Services,4 Alger Street,02127,98882,85.7,Not Available,,Other - Services,1947,632.4,6.4,8472959,0.49,0.51,,1.6,,,,0700027000,"2014, 2015, 2016"
427,ALIGHIERI,Municipal,K-12 School,37 Gove St.,02128,16948,58.1,100,,K-12 School,1924,54,3.2,985370.9,0.038331596762193804,0.9616683575697232,,,,,,Not Available,2016
428,Allerton: 65 Allerton Street,Yes,Office,65 Allerton Street,02119,72087,105.5,25,,Office,2000,688.3,9.5,7608704.4,0.86,0.14,,70.9,,,,0800962000,"2014, 2015, 2016"
429,Alumnae Hall,Yes,College/University,321R Brookline Avenue,02115,7600,276,Not Available,,College/University,1905,177.1,23.3,2097637.5,0.72,0.28,,,,"Chiller serving multiple buildings located on roof. For information about recent energy efficiency projects, please visit green.simmons.edu.",,0402012000,"2015, 2016"
430,Amiff Housing: Amiff-ALH,Yes,Multifamily Housing,64 American Legion Highway,02124,87660,94.9,35,,Multifamily Housing,1971,481.7,5.5,8317863.5,0.11,0.89,,57.5,,,,1404246000,"2015, 2016"
431,Amory Terrace,Yes,Multifamily Housing,20 Amory Avenue,02119,64085,27.6,100,,"Multifamily Housing, Parking",2005,155.3,2.4,1768806.4,0.79,0.21,,64.8,,,,11012010101101202010,"2015, 2016"
432,Amy Lowell House: 65 Martha Road,Yes,Multifamily Housing,65 Martha Rd,02114,115000,75.6,40,,Multifamily Housing,1975,634.1,5.5,8699361.1,0.45,0.55,,44.4,,,,0300465000,"2015, 2016"
433,Andrew Dutton Co,Yes,Office,60 Canal St,02114,39000,72.2,88,,Office,1895,210.2,5.4,2814772.7,0.49,0.51,,4.8,,,,Not Available,2016
434,Animal Control Shelter,Municipal,Other,26 Mahler Rd,02131,10000,216.4,Not Available,,Other,2000,136.7,13.7,2163789.7,0.23097889781063288,0.769021075384544,,,,,,Not Available,2016
435,Ansin Building,Yes,College/University,180 Tremont St,02116,98744,Not Available,Not Available,,College/University,1931,Not Available,0,Not Available,,,,12.0,,,,0304890100,"2014, 2015, 2016"
436,Anti Corruption,Municipal,Police Station,1960 Washington St,02118,4200,56.6,Not Available,,Police Station,2000,17.5,4.2,237732.8,0.46999305102198774,0.5300067936734014,,,,,,Not Available,2016
437,Arborway Gardens Condominium,Yes,Multifamily Housing,"461, 463, 467, 469, 493, 495 Arborway, ",02130,150172,94.7,50,,Multifamily Housing,1950,808.1,5.4,14220077,0.09,0.91,,27.4,,,,1102640000,"2015, 2016"
438,Archer/Donahue,Yes,College/University,41 Temple Street,02114,175791,134.2,Not Available,,College/University,1920,1780.4,10.1,23592909.5,0.34,0.0,0.56,10.7,,,,Not Available,"2014, 2016"
439,Archives Building,Municipal,Non-Refrigerated Warehouse,201 Rivermoor St,02132,119454,70.1,10,,Non-Refrigerated Warehouse,2000,683.1,5.7,8370470.6,0.6530779667274621,0.34692198156696236,,,,,,Not Available,2016
440,Arlington Boylston,Yes,Office,330-350 Boylston Street,02116,63054,93.7,62,,"Office, Other, Retail Store",1899,438.8,7,5909391.7,0.34,0.2,0.46,9.6,,,,0501167000,"2014, 2015, 2016"
441,Armenian Nursing and Rehabilitation Center,Yes,Residential Care Facility,431 Pond St ,02130,38240,84.8,Not Available,,,1958,154.3,4,3244454.8,,0.9,,47.2,,,,1902312000,2016
442,Armenise,Yes,Laboratory,210 Longwood Ave,02115,133645,209.5,Not Available,,Laboratory,1905,1978.5,14.8,27996486.7,0.28,,0.4,46.1,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered",,0401882000,"2014, 2015, 2016"
443,Arnold Hall,Yes,College/University,78 Pilgrim Road,02115,22000,113.5,Not Available,,College/University,1951,166.7,7.6,2497163.9,0.31,0.69,,31.2,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",,0402013000,"2015, 2016"
444,Arthur J. Hurley Co.,Yes,Distribution Center,2500 Washington Street,02119,50000,17.6,94,,Distribution Center,1967,46.7,0.9,879717.3,0.0,1.0,,2.9,63.7,,,01247-000,"2014, 2015, 2016"
445,Artists,Yes,Multifamily Housing,300 Summer Street,02210,85000,45.5,69,,Multifamily Housing,1950,278,3.3,3868921.9,0.43,0.57,,13.8,,,,0602696002,"2015, 2016"
446,ARTS ACADEMY,Municipal,K-12 School,174 Ipswich St.,02215,129800,67.2,63,,K-12 School,1998,588.8,4.5,8718805.9,0.33034405319196286,0.6696559412545243,,,,,,Not Available,2016
447,Ashmont Hill LLC,Yes,Senior Care Community,321 Centre Street,02122,46952,204.2,12,,Senior Care Community,1953,621.5,13.2,9589094.8,0.27,0.73,,83.7,,"Default values were used for # of units, # of workers on main shift, # of computers, # of washing machines, # of lift systems, # of refrigeration/freezer units, and percent that can be heated/cooled.",,1601072000,2016
448,Asian Healthcare Foundation of Massachusetts,Yes,Office,145 South Street,02111,42000,63.8,93,,Office,1895,215.7,5.1,2679363.7,0.63,0.37,,13.9,,,,0304325000,2016
449,"Asian,Kennedy,Smith Campus",Yes,College/University,"125,129,131 Hemenway street",02115,110798,84.4,Not Available,,College/University,1903,583.1,5.3,9353746.5,0.21,0.79,,34.4,,,,Not Available,"2014, 2015, 2016"
450,Atelier 505,Yes,Multifamily Housing,505 Tremont St,02116,224000,91.6,4,,Multifamily Housing,2004,1462.8,6.5,20518839.5,0.42,0.58,,28.6,,,,0500815020,2016
451,Atlantic Wharf,Yes,Office,280 Congress St.,02210,840913,79.2,90,"2016, 2015, 2013","Data Center, Office, Parking, Restaurant",2010,5755.8,6.8,66574999.2,0.76,0.24,,11.9,,"Atlantic Wharf office tower/retail includes the following parcel IDs: 0302952018, 0302952020, 0302952022, 0302952024",,0302952018 0302952020 0302952022 0302952024,"2014, 2015, 2016"
452,Audubon Park Condo Trust,Yes,Multifamily Housing,24 Farnsworth Street,02210,126660,18.6,100,,Multifamily Housing,1000,173.7,1.4,2356633.2,0.47,0.53,,9.4,,,,2100167000,"2015, 2016"
453,Avenir,Yes,Multifamily Housing,101 Canal St.,02114,335514,52.6,78,,"Multifamily Housing, Parking, Retail Store",2009,1331.3,4,17637227.4,0.51,0.49,,30.7,,2014-1)  Gross floor area reflects Asssessor's living area less enclosed parking garage.,,0301570001,"2015, 2016"
454,B-02 Station,Municipal,Police Station,2400 Washington St,02119,34500,120.2,Not Available,,Police Station,2000,309.2,9,4146747.3,0.4916739016144051,0.5083261028710382,,,,,,Not Available,2016
455,B-03 Station,Municipal,Police Station,1163 Blue Hill Ave,02124,15000,193.3,Not Available,,Police Station,2000,201.3,13.4,2899342.9,0.3741340977640141,0.6258659181361403,,,,,,Not Available,2016
456,Babcock Tower,Yes,Multifamily Housing,270 Babcock Street,02215,155384,88.1,8,,"Multifamily Housing, Parking",1972,1147,7.4,13693129.5,0.7,0.3,,44.8,,,,2100470000,"2015, 2016"
457,Back Bay Maitenence,Municipal,Other,440 Park Dr,02215,10822,58.2,Not Available,,Other,2000,40.7,3.8,629699.3,0.26536362355810145,0.7346363646902576,,,,,,Not Available,2016
458,Back of the Hill Apartments L.P.,Yes,Multifamily Housing,100 South Huntington Avenue ,02130,119531,60.4,79,,Multifamily Housing,1978,473.2,4,7223555.7,0.28,0.72,,37.8,,,,1001490000,"2015, 2016"
459,Baker Chocolate Factory,Yes,Multifamily Housing,1220 Adams Street,02124,105620,65.5,77,,Multifamily Housing,1980,452.7,4.3,6913899.4,0.28,0.72,,20.8,,,,1703661000,"2015, 2016"
460,Baker Library,Yes,Library,25 Harvard Way,02163,157820,82.1,Not Available,,Library,1927,986.3,6.2,12964392.4,0.32,,0.68,25.5,,"Water is allocated by gross square footage for this property, and does not represent actual usage.",,2200530000,"2014, 2015, 2016"
461,Baker Square,Yes,Multifamily Housing,1241 Adams Street,02124,229178,64.1,54,,Multifamily Housing,1000,1020,4.5,14698579.9,0.37,0.63,,29.8,,,,1704031010,"2015, 2016"
462,BALDWIN,Municipal,K-12 School,121 Corey Road,02135,27777,48.6,98,,K-12 School,1926,82.5,3,1349061.6,0.1839512621217593,0.816048750249062,,,,,,Not Available,2016
463,Bancroft,Yes,Multifamily Housing,119-127 Sutherland,02135,30600,80.3,86,,Multifamily Housing,1920,146.8,4.8,2457026.2,0.15,0.85,,360.1,,,,2102155000,"2015, 2016"
464,Barnes School Apartments LLc,Yes,Residence Hall/Dormitory,127 Marion Street,02128,141016,44.7,88,,"Parking, Residence Hall/Dormitory",1900,451,3.2,6309562.5,0.42,0.58,,11.3,,,,0105980000,"2015, 2016"
465,BARRON,Municipal,K-12 School,515 Hyde Park Ave.,02131,14700,65.7,69,,K-12 School,1969,73.8,5,965694.4,0.5342211780455597,0.4657788435451215,,,,,,Not Available,2016
466,Bartol Hall,Yes,College/University,84 Pilgrim Road,02115,25400,159.8,Not Available,,College/University,1953,268.8,10.6,4059728.4,0.3,0.7,,93.0,,"Dining Hall; Residence Campus central gas powered steam plant is located in this building. For information about recent energy efficiency projects, please visit green.simmons.edu.",,0402012000,"2015, 2016"
467,Basilica Leasehold Condominium Trust: Basilica Condominium,Yes,Multifamily Housing,106 13th Street,02129,80000,93.9,15,,Multifamily Housing,1986,506.3,6.3,7508657.5,0.33,0.67,,35.1,,,,0203510175,"2015, 2016"
468,BATES,Municipal,K-12 School,426 Beech St.,02131,27936,79.3,85,,K-12 School,1929,131.6,4.7,2214682.3,0.14457246531477677,0.8554275222229393,,,,,,Not Available,2016
